"","x","y","ndvi86","ndvi11","class"
"806",634650,4332030,1,1,1
"807",634650,4332060,1,1,1
"808",634680,4330290,1,1,1
"809",634680,4330320,2,2,4
"810",634680,4330350,2,2,4
"811",634680,4330380,2,2,4
"812",634680,4330410,2,2,4
"813",634680,4330440,2,2,4
"814",634680,4330470,2,2,4
"815",634680,4330500,2,2,4
"816",634680,4330530,2,2,4
"817",634680,4330560,2,2,4
"818",634680,4330590,2,2,4
"819",634680,4330620,2,2,4
"820",634680,4330650,2,2,4
"821",634680,4330680,1,2,2
"822",634680,4330710,1,1,1
"823",634680,4330740,2,2,4
"824",634680,4330770,2,2,4
"825",634680,4330800,2,2,4
"826",634680,4330830,2,2,4
"827",634680,4330860,2,2,4
"828",634680,4330890,2,2,4
"829",634680,4330920,2,2,4
"830",634680,4330950,2,2,4
"831",634680,4330980,1,1,1
"832",634680,4331010,1,1,1
"833",634680,4331040,1,2,2
"834",634680,4331070,1,1,1
"835",634680,4331100,1,1,1
"836",634680,4331130,1,1,1
"837",634680,4331160,1,1,1
"838",634680,4331190,1,2,2
"839",634680,4331220,1,1,1
"840",634680,4331250,1,1,1
"841",634680,4331280,1,1,1
"842",634680,4331310,1,2,2
"843",634680,4331340,1,1,1
"844",634680,4331370,1,1,1
"845",634680,4331400,1,1,1
"846",634680,4331430,1,1,1
"847",634680,4331460,1,1,1
"848",634680,4331490,1,1,1
"849",634680,4331520,1,2,2
"850",634680,4331550,2,2,4
"851",634680,4331580,2,2,4
"852",634680,4331610,2,2,4
"853",634680,4331640,2,2,4
"854",634680,4331670,2,2,4
"855",634680,4331700,2,2,4
"856",634680,4331730,2,2,4
"857",634680,4331760,1,2,2
"858",634680,4331790,1,2,2
"859",634680,4331820,2,2,4
"860",634680,4331850,2,2,4
"861",634680,4331880,1,2,2
"862",634680,4331910,1,2,2
"863",634680,4331940,1,2,2
"864",634680,4331970,1,1,1
"865",634680,4332000,1,1,1
"866",634680,4332030,1,1,1
"867",634680,4332060,1,1,1
