Rowid_,WEIMER_DIS7,X,Y,WEIMER_DIS7_1
,395,635130.000000000000000,4332000.000000000000000,394.588378906250000
,400,635160.000000000000000,4332000.000000000000000,400.249908447265620
,408,635190.000000000000000,4332000.000000000000000,408.044128417968750
,418,635220.000000000000000,4332000.000000000000000,417.851654052734370
,430,635250.000000000000000,4332000.000000000000000,429.534637451171870
,443,635280.000000000000000,4332000.000000000000000,442.944702148437500
,457,635310.000000000000000,4332000.000000000000000,456.946380615234370
,470,635340.000000000000000,4332000.000000000000000,469.574279785156250
,484,635370.000000000000000,4332000.000000000000000,483.735473632812500
,499,635400.000000000000000,4332000.000000000000000,499.299499511718750
,516,635430.000000000000000,4332000.000000000000000,516.139526367187500
,534,635460.000000000000000,4332000.000000000000000,534.134826660156250
,551,635490.000000000000000,4332000.000000000000000,550.726806640625000
,566,635520.000000000000000,4332000.000000000000000,566.038879394531250
,582,635550.000000000000000,4332000.000000000000000,582.494628906250000
,600,635580.000000000000000,4332000.000000000000000,600.000000000000000
,618,635610.000000000000000,4332000.000000000000000,618.465820312500000
,631,635640.000000000000000,4332000.000000000000000,630.713867187500000
,644,635670.000000000000000,4332000.000000000000000,644.127319335937500
,659,635700.000000000000000,4332000.000000000000000,658.634948730468750
,674,635730.000000000000000,4332000.000000000000000,674.166137695312500
,691,635760.000000000000000,4332000.000000000000000,690.651855468750000
,708,635790.000000000000000,4332000.000000000000000,708.025451660156250
,726,635820.000000000000000,4332000.000000000000000,726.223083496093750
,745,635850.000000000000000,4332000.000000000000000,745.184570312500000
,765,635880.000000000000000,4332000.000000000000000,764.852905273437500
,785,635910.000000000000000,4332000.000000000000000,785.175109863281250
,806,635940.000000000000000,4332000.000000000000000,806.101745605468750
,828,635970.000000000000000,4332000.000000000000000,827.586853027343750
,849,636000.000000000000000,4332000.000000000000000,848.528137207031250
,870,636030.000000000000000,4332000.000000000000000,870.000000000000000
,891,636060.000000000000000,4332000.000000000000000,890.954528808593750
,912,636090.000000000000000,4332000.000000000000000,912.414367675781250
,933,636120.000000000000000,4332000.000000000000000,933.380981445312500
,955,636150.000000000000000,4332000.000000000000000,954.829833984375000
,976,636180.000000000000000,4332000.000000000000000,975.807373046875000
,997,636210.000000000000000,4332000.000000000000000,997.246215820312500
,1019,636240.000000000000000,4332000.000000000000000,1019.117248535156200
,1041,636270.000000000000000,4332000.000000000000000,1041.393310546875000
,1064,636300.000000000000000,4332000.000000000000000,1064.048828125000000
,1087,636330.000000000000000,4332000.000000000000000,1087.060302734375000
