OBJECTID,iso1986_ndvi_tif,X,Y,iso1986_ndvi
846,1,635310,4331610,1
847,1,635340,4331610,1
848,1,635370,4331610,1
849,1,635400,4331610,1
850,1,635430,4331610,1
851,1,635460,4331610,1
852,1,635490,4331610,1
853,1,635520,4331610,1
854,1,635550,4331610,1
855,1,635580,4331610,1
856,1,635610,4331610,1
857,1,635640,4331610,1
858,1,635670,4331610,1
859,1,635700,4331610,1
860,1,635730,4331610,1
861,1,635760,4331610,1
862,1,635790,4331610,1
863,1,635820,4331610,1
864,1,635850,4331610,1
865,1,635880,4331610,1
866,1,635910,4331610,1
867,1,635940,4331610,1
868,1,635970,4331610,1
869,1,636000,4331610,1
870,1,636030,4331610,1
871,1,636060,4331610,1
872,1,633990,4331580,1
873,1,634020,4331580,1
874,2,634050,4331580,2
875,2,634080,4331580,2
876,2,634110,4331580,2
877,1,634140,4331580,1
878,1,634170,4331580,1
879,1,634200,4331580,1
880,1,634230,4331580,1
881,1,634260,4331580,1
882,1,634290,4331580,1
883,1,634320,4331580,1
884,1,634350,4331580,1
885,1,634380,4331580,1
886,1,634410,4331580,1
887,1,634440,4331580,1
888,1,634470,4331580,1
889,1,634500,4331580,1
890,1,634530,4331580,1
891,1,634560,4331580,1
892,1,634590,4331580,1
893,1,634620,4331580,1
894,1,634650,4331580,1
895,2,634680,4331580,2
896,2,634710,4331580,2
897,2,634740,4331580,2
898,2,634770,4331580,2
899,1,634800,4331580,1
900,1,634830,4331580,1
901,2,634860,4331580,2
902,2,634890,4331580,2
903,2,634920,4331580,2
904,2,634950,4331580,2
905,2,634980,4331580,2
906,2,635010,4331580,2
907,2,635040,4331580,2
908,2,635070,4331580,2
909,2,635100,4331580,2
910,2,635130,4331580,2
911,2,635160,4331580,2
912,1,635190,4331580,1
913,1,635220,4331580,1
914,1,635250,4331580,1
915,1,635280,4331580,1
916,1,635310,4331580,1
917,1,635340,4331580,1
918,1,635370,4331580,1
919,1,635400,4331580,1
920,1,635430,4331580,1
921,1,635460,4331580,1
922,1,635490,4331580,1
923,1,635520,4331580,1
924,1,635550,4331580,1
925,1,635580,4331580,1
926,1,635610,4331580,1
927,1,635640,4331580,1
928,1,635670,4331580,1
929,1,635700,4331580,1
930,1,635730,4331580,1
931,1,635760,4331580,1
932,1,635790,4331580,1
933,1,635820,4331580,1
934,1,635850,4331580,1
935,1,635880,4331580,1
936,1,635910,4331580,1
937,1,635940,4331580,1
938,1,635970,4331580,1
939,1,636000,4331580,1
940,1,636030,4331580,1
941,1,636060,4331580,1
942,2,634020,4331550,2
943,2,634050,4331550,2
944,2,634080,4331550,2
945,2,634110,4331550,2
946,1,634140,4331550,1
947,1,634170,4331550,1
948,1,634200,4331550,1
949,1,634230,4331550,1
950,1,634260,4331550,1
951,1,634290,4331550,1
952,1,634320,4331550,1
953,1,634350,4331550,1
954,1,634380,4331550,1
955,1,634410,4331550,1
956,1,634440,4331550,1
957,2,634470,4331550,2
958,1,634500,4331550,1
959,1,634530,4331550,1
960,1,634560,4331550,1
961,1,634590,4331550,1
962,1,634620,4331550,1
963,1,634650,4331550,1
964,2,634680,4331550,2
965,2,634710,4331550,2
966,2,634740,4331550,2
967,2,634770,4331550,2
968,1,634800,4331550,1
969,1,634830,4331550,1
970,2,634860,4331550,2
971,2,634890,4331550,2
972,2,634920,4331550,2
973,2,634950,4331550,2
974,2,634980,4331550,2
975,2,635010,4331550,2
976,1,635040,4331550,1
977,1,635070,4331550,1
978,2,635100,4331550,2
979,2,635130,4331550,2
980,2,635160,4331550,2
981,2,635190,4331550,2
982,1,635220,4331550,1
983,1,635250,4331550,1
984,1,635280,4331550,1
985,1,635310,4331550,1
986,1,635340,4331550,1
987,1,635370,4331550,1
988,1,635400,4331550,1
989,1,635430,4331550,1
990,1,635460,4331550,1
991,1,635490,4331550,1
992,1,635520,4331550,1
993,1,635550,4331550,1
994,1,635580,4331550,1
995,1,635610,4331550,1
996,1,635640,4331550,1
997,1,635670,4331550,1
998,1,635700,4331550,1
999,1,635730,4331550,1
1000,1,635760,4331550,1
1001,1,635790,4331550,1
1002,1,635820,4331550,1
1003,1,635850,4331550,1
1004,2,635880,4331550,2
1005,1,635910,4331550,1
1006,1,635940,4331550,1
1007,1,635970,4331550,1
1008,1,636000,4331550,1
1009,1,636030,4331550,1
1010,1,636060,4331550,1
1011,1,634020,4331520,1
1012,2,634050,4331520,2
1013,2,634080,4331520,2
1014,2,634110,4331520,2
1015,1,634140,4331520,1
1016,1,634170,4331520,1
1017,1,634200,4331520,1
1018,1,634230,4331520,1
1019,1,634260,4331520,1
1020,1,634290,4331520,1
1021,1,634320,4331520,1
1022,1,634350,4331520,1
1023,1,634380,4331520,1
1024,1,634410,4331520,1
1025,1,634440,4331520,1
1026,1,634470,4331520,1
1027,1,634500,4331520,1
1028,1,634530,4331520,1
1029,1,634560,4331520,1
1030,1,634590,4331520,1
1031,1,634620,4331520,1
1032,1,634650,4331520,1
1033,1,634680,4331520,1
1034,2,634710,4331520,2
1035,2,634740,4331520,2
1036,2,634770,4331520,2
1037,2,634800,4331520,2
1038,2,634830,4331520,2
1039,2,634860,4331520,2
1040,2,634890,4331520,2
1041,2,634920,4331520,2
1042,2,634950,4331520,2
1043,2,634980,4331520,2
1044,2,635010,4331520,2
1045,1,635040,4331520,1
1046,1,635070,4331520,1
1047,1,635100,4331520,1
1048,2,635130,4331520,2
1049,2,635160,4331520,2
1050,2,635190,4331520,2
1051,2,635220,4331520,2
1052,2,635250,4331520,2
1053,2,635280,4331520,2
1054,2,635310,4331520,2
1055,1,635340,4331520,1
1056,1,635370,4331520,1
